"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2026-09-22T05:45:04.814+09:00"
"RESULT_INF"
"TOTAL_NUMBER","600"
"FROM_NUMBER","1"
"TO_NUMBER","600"
"TABLE_INF","0003060791"
"STAT_NAME","00350600","法人企業統計調査"
"GOV_ORG","00350","財務省"
"STATISTICS_NAME","法人企業統計調査 時系列データ"
"TITLE","1","時系列データ 金融業、保険業以外の業種(原数値)"
"CYCLE","年度次"
"SURVEY_DATE","202504-202603"
"OPEN_DATE","2026-09-01"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","07","企業・家計・経済"
"SUB_CATEGORY","01","企業活動"
"OVERALL_TOTAL_NUMBER","7479609"
"UPDATED_DATE","2026-09-01"
"STATISTICS_NAME_SPEC","法人企業統計調査","時系列データ","","","",""
"TITLE_SPEC","時系列データ","金融業、保険業以外の業種(原数値)","","","",""
"NOTE","*","計算結果が値を持たない項目"
"VALUE"
"cat01_code","調査項目 (金融業、保険業以外の業種)","cat02_code","業種 (金融業、保険業以外の業種)","cat03_code","規模 (金融業、保険業以外の業種)","time_code","年  期","unit","value","annotation"
"045","売上高(当期末)","108","製造業","26","全規模","20250","2025年度","百万円","477013010",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20160","2016年度","百万円","219801873",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20170","2017年度","百万円","230786314",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20180","2018年度","百万円","237795596",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20190","2019年度","百万円","230419567",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20200","2020年度","百万円","209960185",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20210","2021年度","百万円","230967403",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20220","2022年度","百万円","253945331",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20230","2023年度","百万円","258151968",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20240","2024年度","百万円","266587497",""
"045","売上高(当期末)","108","製造業","25","10億円以上","20250","2025年度","百万円","268369147",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20160","2016年度","百万円","65436004",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20170","2017年度","百万円","66075006",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20180","2018年度","百万円","68069986",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20190","2019年度","百万円","64121780",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20200","2020年度","百万円","63672664",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20210","2021年度","百万円","73241110",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20220","2022年度","百万円","74818913",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20230","2023年度","百万円","79797415",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20240","2024年度","百万円","84871648",""
"045","売上高(当期末)","108","製造業","24","1億円以上 - 10億円未満","20250","2025年度","百万円","87217265",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20160","2016年度","百万円","97834648",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20170","2017年度","百万円","96558452",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20180","2018年度","百万円","95624456",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20190","2019年度","百万円","92194434",""
